Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Durchschnittliche Balance der Bodenkontaktzeit,Ø Trittfrequenz,Max. Trittfrequenz,Training Stress Score®,Ø Leistung,Max. Leistung,Grit,Flow,Züge insgesamt,Ø Swolf,Ø Schlagrate,Wiederholungen insgesamt,Sätze insgesamt,Routen insgesamt,Kletterzeit,Pausenzeit insgesamt,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Krafttraining,2022-12-02 17:59:54,false,"Krafttraining B","0,00","437","01:23:13","109","138","0,7","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","304","28","--","--","--","0:00","24,0","0:00","Nein","01:23:12.60.9","1","0,0","00:48:53","01:26:03","--","--"
Radfahren,2022-12-02 17:27:49,false,"Würzburg Radfahren","5,00","143","00:19:56","115","145","1,0","0","0","15,1","37,3","25","136","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","00:17.09","2","0,0","00:15:44","00:19:56","188","201"
Radfahren,2022-11-30 09:42:07,false,"Würzburg Radfahren","4,85","178","00:23:26","120","159","1,2","0","0","12,4","21,4","37","9","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","25,0","0:00","Nein","23:25.59","1","0,0","00:20:27","00:23:26","175","199"
Krafttraining,2022-11-30 08:17:47,false,"Krafttraining A","0,00","372","01:13:06","105","143","0,7","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","275","25","--","--","--","0:00","25,0","0:00","Nein","01:13:05.75.3","1","0,0","00:40:36","01:14:25","--","--"
Radfahren,2022-11-30 07:53:03,false,"Würzburg Radfahren","5,06","164","00:18:16","128","159","1,9","0","0","16,6","32,5","37","56","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","00:27.03.8","2","0,0","00:16:25","00:18:16","166","199"
HIIT,2022-11-28 19:26:50,false,"HIIT","0,00","719","01:38:27","137","185","3,2","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","8","1","--","--","--","0:00","23,0","0:00","Nein","01:38:27.43","1","0,0","01:38:27","01:38:27","--","--"
Radfahren,2022-11-25 18:46:49,false,"Würzburg Radfahren","4,47","165","00:18:12","128","168","2,2","0","0","14,7","31,1","56","27","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","22,0","0:00","Nein","18:12.43","1","0,0","00:16:19","00:18:12","177","205"
Krafttraining,2022-11-25 17:14:48,false,"Krafttraining B","0,00","447","01:23:51","110","141","1,3","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","272","29","--","--","--","0:00","24,0","0:00","Nein","01:23:51.42.4","1","0,0","00:36:28","01:23:51","--","--"
Radfahren,2022-11-25 16:46:00,false,"Würzburg Radfahren","5,07","176","00:19:44","127","153","1,9","0","0","15,4","36,9","27","69","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","23,0","0:00","Nein","00:33.02.6","2","0,0","00:16:18","00:19:44","178","198"
Radfahren,2022-11-24 21:53:38,false,"Würzburg Radfahren","3,47","132","00:14:06","129","150","1,4","0","0","14,7","64,4","27","14","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","26,0","0:00","Nein","14:06.40.3","1","0,0","00:13:10","00:14:06","92","109"
